chunk_agg_type,source_agg_name,theme_keywords_agg_name,emissions_kg,duration_seconds,start_time,end_time,filename
max,03_producao_resumo_02_palavra_area,04_tema_06_palavras,2.703567846072965e-05,84.996816,2025-09-06T15:33:42.081483,2025-09-06T15:35:07.078299,metricas_por_tema__chunk-max__campos-03_producao_resumo_02_palavra_area__simtema-04_tema_06_palavras_miniLM.parquet
max,03_producao_resumo_02_palavra_area,05_tema_05_palavras,2.667851230900959e-05,84.123483,2025-09-06T15:35:12.342540,2025-09-06T15:36:36.466023,metricas_por_tema__chunk-max__campos-03_producao_resumo_02_palavra_area__simtema-05_tema_05_palavras_miniLM.parquet
max,03_producao_resumo_02_palavra_area,06_tema_04_palavras,2.6961184296692414e-05,84.817508,2025-09-06T15:36:41.838405,2025-09-06T15:38:06.655913,metricas_por_tema__chunk-max__campos-03_producao_resumo_02_palavra_area__simtema-06_tema_04_palavras_miniLM.parquet
max,03_producao_resumo_02_palavra_area,07_tema_03_palavras,2.649155854623035e-05,83.668952,2025-09-06T15:38:11.791995,2025-09-06T15:39:35.460947,metricas_por_tema__chunk-max__campos-03_producao_resumo_02_palavra_area__simtema-07_tema_03_palavras_miniLM.parquet
max,03_producao_resumo_02_palavra_area,08_tema_02_palavras,2.4815246692814765e-05,79.187982,2025-09-06T15:39:40.831398,2025-09-06T15:41:00.019380,metricas_por_tema__chunk-max__campos-03_producao_resumo_02_palavra_area__simtema-08_tema_02_palavras_miniLM.parquet
max,03_producao_resumo_02_palavra_area,09_tema_01_palavras,2.462892507027347e-05,78.896498,2025-09-06T15:41:05.258211,2025-09-06T15:42:24.154709,metricas_por_tema__chunk-max__campos-03_producao_resumo_02_palavra_area__simtema-09_tema_01_palavras_miniLM.parquet
max,02_producao_resumo_03_palavra_area,01_tema_09_palavras,2.4797491522359472e-05,79.18062,2025-09-06T15:42:40.811536,2025-09-06T15:43:59.992156,metricas_por_tema__chunk-max__campos-02_producao_resumo_03_palavra_area__simtema-01_tema_09_palavras_miniLM.parquet
max,02_producao_resumo_03_palavra_area,02_tema_08_palavras,2.4754846635076086e-05,79.173269,2025-09-06T15:44:05.330288,2025-09-06T15:45:24.503557,metricas_por_tema__chunk-max__campos-02_producao_resumo_03_palavra_area__simtema-02_tema_08_palavras_miniLM.parquet
max,02_producao_resumo_03_palavra_area,03_tema_07_palavras,2.463757894759928e-05,79.035824,2025-09-06T15:45:29.547400,2025-09-06T15:46:48.583224,metricas_por_tema__chunk-max__campos-02_producao_resumo_03_palavra_area__simtema-03_tema_07_palavras_miniLM.parquet
max,02_producao_resumo_03_palavra_area,04_tema_06_palavras,2.474497299050049e-05,79.097218,2025-09-06T15:46:53.884938,2025-09-06T15:48:12.982156,metricas_por_tema__chunk-max__campos-02_producao_resumo_03_palavra_area__simtema-04_tema_06_palavras_miniLM.parquet
max,02_producao_resumo_03_palavra_area,05_tema_05_palavras,6.006630340349352e-07,79.281843,2025-09-06T15:48:19.538068,2025-09-06T15:49:38.819911,metricas_por_tema__chunk-max__campos-02_producao_resumo_03_palavra_area__simtema-05_tema_05_palavras_miniLM.parquet
max,02_producao_resumo_03_palavra_area,06_tema_04_palavras,2.4419498480723822e-05,78.383177,2025-09-06T15:49:43.931053,2025-09-06T15:51:02.314230,metricas_por_tema__chunk-max__campos-02_producao_resumo_03_palavra_area__simtema-06_tema_04_palavras_miniLM.parquet
max,02_producao_resumo_03_palavra_area,07_tema_03_palavras,2.4439410298510483e-05,78.708685,2025-09-06T15:51:07.385705,2025-09-06T15:52:26.094390,metricas_por_tema__chunk-max__campos-02_producao_resumo_03_palavra_area__simtema-07_tema_03_palavras_miniLM.parquet
max,02_producao_resumo_03_palavra_area,08_tema_02_palavras,2.445862138392922e-05,78.484153,2025-09-06T15:52:31.261114,2025-09-06T15:53:49.745267,metricas_por_tema__chunk-max__campos-02_producao_resumo_03_palavra_area__simtema-08_tema_02_palavras_miniLM.parquet
max,02_producao_resumo_03_palavra_area,09_tema_01_palavras,2.508488886993971e-05,79.949593,2025-09-06T15:53:55.184317,2025-09-06T15:55:15.133910,metricas_por_tema__chunk-max__campos-02_producao_resumo_03_palavra_area__simtema-09_tema_01_palavras_miniLM.parquet
