chunk_agg_type,source_agg_name,theme_keywords_agg_name,emissions_kg,duration_seconds,start_time,end_time,filename
max,03_producao_resumo_02_palavra_area,01_tema_09_palavras,2.7409530726641188e-05,82.731686,2025-09-06T16:51:35.173450,2025-09-06T16:52:57.905136,metricas_por_tema__chunk-max__campos-03_producao_resumo_02_palavra_area__simtema-01_tema_09_palavras_mpnet_base_v2.parquet
max,03_producao_resumo_02_palavra_area,02_tema_08_palavras,2.889088952052311e-05,87.297596,2025-09-06T16:53:03.032833,2025-09-06T16:54:30.330429,metricas_por_tema__chunk-max__campos-03_producao_resumo_02_palavra_area__simtema-02_tema_08_palavras_mpnet_base_v2.parquet
max,03_producao_resumo_02_palavra_area,03_tema_07_palavras,2.9297133685820275e-05,87.61814,2025-09-06T16:54:35.569209,2025-09-06T16:56:03.187349,metricas_por_tema__chunk-max__campos-03_producao_resumo_02_palavra_area__simtema-03_tema_07_palavras_mpnet_base_v2.parquet
max,03_producao_resumo_02_palavra_area,04_tema_06_palavras,2.7935425083872442e-05,85.815187,2025-09-06T16:56:08.260443,2025-09-06T16:57:34.075630,metricas_por_tema__chunk-max__campos-03_producao_resumo_02_palavra_area__simtema-04_tema_06_palavras_mpnet_base_v2.parquet
max,03_producao_resumo_02_palavra_area,05_tema_05_palavras,5.813821046528371e-07,77.2817,2025-09-06T16:57:40.196289,2025-09-06T16:58:57.477989,metricas_por_tema__chunk-max__campos-03_producao_resumo_02_palavra_area__simtema-05_tema_05_palavras_mpnet_base_v2.parquet
max,03_producao_resumo_02_palavra_area,06_tema_04_palavras,2.396540167772468e-05,77.285903,2025-09-06T16:59:02.436054,2025-09-06T17:00:19.721957,metricas_por_tema__chunk-max__campos-03_producao_resumo_02_palavra_area__simtema-06_tema_04_palavras_mpnet_base_v2.parquet
max,03_producao_resumo_02_palavra_area,07_tema_03_palavras,2.4076629318626153e-05,77.474158,2025-09-06T17:00:24.735756,2025-09-06T17:01:42.209914,metricas_por_tema__chunk-max__campos-03_producao_resumo_02_palavra_area__simtema-07_tema_03_palavras_mpnet_base_v2.parquet
max,03_producao_resumo_02_palavra_area,08_tema_02_palavras,2.8207518581989047e-05,85.17803,2025-09-06T17:01:47.273363,2025-09-06T17:03:12.451393,metricas_por_tema__chunk-max__campos-03_producao_resumo_02_palavra_area__simtema-08_tema_02_palavras_mpnet_base_v2.parquet
max,03_producao_resumo_02_palavra_area,09_tema_01_palavras,2.8063114210433986e-05,85.625135,2025-09-06T17:03:17.416507,2025-09-06T17:04:43.041642,metricas_por_tema__chunk-max__campos-03_producao_resumo_02_palavra_area__simtema-09_tema_01_palavras_mpnet_base_v2.parquet
max,02_producao_resumo_03_palavra_area,01_tema_09_palavras,2.8114412927241407e-05,85.934908,2025-09-06T17:05:00.390835,2025-09-06T17:06:26.325743,metricas_por_tema__chunk-max__campos-02_producao_resumo_03_palavra_area__simtema-01_tema_09_palavras_mpnet_base_v2.parquet
max,02_producao_resumo_03_palavra_area,02_tema_08_palavras,2.7319677873472263e-05,84.655925,2025-09-06T17:06:31.689298,2025-09-06T17:07:56.345223,metricas_por_tema__chunk-max__campos-02_producao_resumo_03_palavra_area__simtema-02_tema_08_palavras_mpnet_base_v2.parquet
max,02_producao_resumo_03_palavra_area,03_tema_07_palavras,2.595360595360712e-05,81.311752,2025-09-06T17:08:01.436540,2025-09-06T17:09:22.748292,metricas_por_tema__chunk-max__campos-02_producao_resumo_03_palavra_area__simtema-03_tema_07_palavras_mpnet_base_v2.parquet
max,02_producao_resumo_03_palavra_area,04_tema_06_palavras,2.4198204327699083e-05,77.777957,2025-09-06T17:09:28.119315,2025-09-06T17:10:45.897272,metricas_por_tema__chunk-max__campos-02_producao_resumo_03_palavra_area__simtema-04_tema_06_palavras_mpnet_base_v2.parquet
max,02_producao_resumo_03_palavra_area,05_tema_05_palavras,2.4106897091389772e-05,77.608787,2025-09-06T17:10:51.007423,2025-09-06T17:12:08.616210,metricas_por_tema__chunk-max__campos-02_producao_resumo_03_palavra_area__simtema-05_tema_05_palavras_mpnet_base_v2.parquet
max,02_producao_resumo_03_palavra_area,06_tema_04_palavras,2.4091604738124618e-05,77.417297,2025-09-06T17:12:13.723442,2025-09-06T17:13:31.140739,metricas_por_tema__chunk-max__campos-02_producao_resumo_03_palavra_area__simtema-06_tema_04_palavras_mpnet_base_v2.parquet
max,02_producao_resumo_03_palavra_area,07_tema_03_palavras,2.707380554253031e-05,84.173636,2025-09-06T17:13:36.404529,2025-09-06T17:15:00.578165,metricas_por_tema__chunk-max__campos-02_producao_resumo_03_palavra_area__simtema-07_tema_03_palavras_mpnet_base_v2.parquet
max,02_producao_resumo_03_palavra_area,08_tema_02_palavras,2.96783836964054e-05,87.778413,2025-09-06T17:15:05.586527,2025-09-06T17:16:33.364940,metricas_por_tema__chunk-max__campos-02_producao_resumo_03_palavra_area__simtema-08_tema_02_palavras_mpnet_base_v2.parquet
max,02_producao_resumo_03_palavra_area,09_tema_01_palavras,2.7562606683553538e-05,85.236457,2025-09-06T17:16:38.435193,2025-09-06T17:18:03.671650,metricas_por_tema__chunk-max__campos-02_producao_resumo_03_palavra_area__simtema-09_tema_01_palavras_mpnet_base_v2.parquet
